time,ret,trgt,bin,side
2023-07-10 04:35:00,0.0263040204444851,0.001312747813087657,0,1
2023-03-31 00:20:00,-0.0008426220199115875,0.00043428054413245664,1,-1
2023-01-31 23:20:00,-0.022681456252588994,0.0011157965572914953,-1,1
2023-03-22 11:20:00,0.021103730672669796,0.0010352296172500839,1,1
2023-09-28 01:25:00,0.004736902180116465,0.0008623474282780403,0,1
2023-11-03 00:25:00,0.03139896373056983,0.00156885801310034,0,1
2023-05-03 02:20:00,-0.013484084062284407,0.0006719176607495967,-1,1
2023-11-06 00:25:00,0.0061812418422524384,0.00479696371352913,0,1
2023-03-09 07:20:00,0.014387932623755484,0.0006893268932242485,1,1
2023-03-08 21:20:00,0.03343637984334413,0.002318688651455367,0,1
2023-11-20 05:25:00,0.0036334349230755514,0.000984475974485379,0,1
2023-03-15 13:20:00,0.04502284316884975,0.0070619733762778535,0,1
2023-11-03 03:25:00,0.022854723372224273,0.001126862086631657,1,1
2023-07-12 17:35:00,-0.016122509503653237,0.0028533247549465653,-1,1
2023-03-22 03:20:00,0.0067994404159168464,0.0003117211601104876,1,1
2023-08-16 05:35:00,-0.0010798839582324415,0.00046890688430256786,1,-1
2023-03-07 06:20:00,-0.0010567364611486774,0.0005933739365190338,1,-1
2023-03-27 12:20:00,0.011645818640733552,0.0005803811955480072,0,1
2023-06-21 05:35:00,0.007359073288305096,0.00036785974715100226,0,1
2023-04-12 02:20:00,0.009574896561824753,0.00046405172094150993,1,1
2023-07-07 08:35:00,0.02386117136659438,0.001178549864616669,1,1
2023-11-05 23:25:00,0.0058812015919322835,0.005305481513688015,0,1
2023-05-31 17:20:00,0.029986092316944823,0.0014907741561022002,0,1
2023-03-30 22:20:00,-0.0008064811759961321,0.0005130620405753857,1,-1
2023-06-01 02:20:00,0.019674615722852673,0.0009745565380432055,1,1
2023-10-16 00:25:00,0.03124881165151927,0.0015487560864646947,0,1
2023-12-15 07:25:00,-0.0012089590226521674,0.0008027486802948018,1,-1
2023-04-05 01:20:00,0.010378932426329035,0.0005001710834910023,-1,-1
2023-02-13 13:20:00,-0.0146549626607273,0.0007313252244157656,-1,1
2023-04-24 09:20:00,-0.021720188066149948,0.0013028659351081823,-1,1
2023-08-28 16:35:00,0.005375299527232702,0.00025521395926808924,1,1
2023-05-02 22:20:00,-0.024182555117323146,0.0012001053043317605,-1,1
2023-04-10 16:20:00,0.011719038135280746,0.0019627735333905636,0,1
2023-12-21 04:25:00,0.01061372824918494,0.0005207208544647823,1,1
2023-05-22 21:20:00,0.006730966168283281,0.000333714509517888,-1,-1
2023-07-10 12:35:00,0.010624459980668632,0.0005178566389548007,1,1
2023-03-02 02:20:00,-0.00215444565176659,0.0012046180831006045,1,-1
2023-08-24 13:35:00,-0.002533114717856888,0.0014858116255590187,1,-1
2023-02-16 13:20:00,0.015935687778210195,0.000782352961826317,-1,-1
2023-06-15 05:20:00,0.01716178334520624,0.0008556955405953971,0,1
2023-02-01 00:20:00,-0.017796149844870657,0.0008871892392609339,-1,1
2023-05-08 18:20:00,0.018708537273661063,0.0009174440146081265,-1,-1
2023-02-02 00:20:00,0.03686067849244812,0.002917567869686718,-1,-1
2023-06-14 08:20:00,0.020513485717462254,0.0010247215380864308,0,1
2023-09-27 09:25:00,-0.0020513111375796145,0.0010515149135096513,1,-1
2023-07-31 15:35:00,-0.001114534251540289,0.0007160993699843293,1,-1
2023-04-10 15:20:00,0.012060412709535617,0.002334996639404238,0,1
2023-09-03 22:35:00,-0.02866980991980983,0.0032603442196814385,-1,1
2023-02-13 07:20:00,0.005278477103201729,0.0008313253863960647,0,1
2023-07-05 06:35:00,-0.0009553203997649806,0.0004617584354094998,1,-1
2023-11-03 05:25:00,0.01585539130352953,0.0007121041900426478,1,1
2023-05-12 06:20:00,0.012539039693057585,0.000605875297589112,-1,-1
2023-10-19 06:25:00,0.014249774528884096,0.0007045959601447345,1,1
2023-03-01 05:20:00,0.026349082287091097,0.0012706862458155383,1,1
2023-05-22 20:20:00,0.008073538186157414,0.00038869098145265257,-1,-1
2023-12-14 23:25:00,-0.004165761066434737,0.0027210155890777443,1,-1
2023-07-12 20:35:00,-0.016511552696826914,0.0015575285423798336,-1,1
2023-02-13 10:20:00,-0.012465931760496707,0.0006215233907123938,-1,1
